Uid,ClusterId,Categories
183219009880065,1,"4100,1003,10017366,"
183219009880065,1,"4100,1003,10017367,"
183219009880065,1,"4100,1003,10017368,"
183219009880065,1,"4100,1003,10017369,"
183219009880065,1,"4100,1003,10017370,"
183219009880065,1,"4100,1003,10017371,"
183219009880065,1,"4100,1003,10017372,"
183219009880065,1,"4100,1003,10017373,"
183219009880065,1,"4100,1003,10017374,"
183219009880065,1,"4100,1003,10017375,"
183219009880065,1,"4100,1003,10017376,"
183219009880065,1,"4100,1003,10017377,"
183219009880065,1,"4100,1003,10017378,"
183219009880065,1,"4100,1003,10017386,"
183219009880065,1,"4100,1003,10017388,"
183219009880065,1,"4100,1003,10017390,"
183219009880065,1,"4100,1003,10017396,"
183219009880065,1,"4100,1003,10676836,"
183219009880065,1,"4100,1003,10676837,"
183219009880065,1,"4100,1003,10676838,"
183219009880065,1,"4100,1003,10676839,"
183219009880065,1,"4100,1003,10676840,"
183219009880065,1,"4100,1003,10676841,"
183219009880065,1,"4100,1003,10676842,"
183219009880065,1,"4100,1003,10676843,"
183219009880065,1,"4100,1003,10676844,"
183219009880065,1,"4100,1003,10676845,"
183219009880065,1,"4100,1003,10676846,"
183219009880065,1,"4100,1003,10676847,"
183219009880065,1,"4100,1003,10676848,"
183219009880065,1,"4100,1003,10676849,"
183219009880065,1,"4100,1003,10676850,"
183219009880065,1,"4100,1003,10676851,"
183219009880065,1,"4100,1003,10676852,"
183219009880065,1,"4100,1003,10676853,"
183219009880065,1,"4100,1003,10676854,"
183219009880065,1,"4100,1003,10676855,"
183219009880065,1,"4100,1003,10676856,"
183219009880065,1,"4100,1003,10676857,"
183219009880065,1,"4100,1003,10676858,"
183219009880065,1,"4100,1003,10676859,"
183219009880065,1,"4100,1003,10676980,"
183219009880065,1,"4100,1003,10018158,"
183219009880065,1,"4100,1003,10017915,"
183219009880065,1,"4100,1003,10018057,"
183219009880065,1,"4100,1003,10018054,"
183219009880065,1,"4100,1003,10017560,"
183219009880065,1,"4100,1003,10017563,"
183219009880065,1,"4100,1003,10017565,"
183219009880065,1,"4100,1003,10017566,"
183219009880065,1,"4100,1003,10017567,"
183219009880065,1,"4100,1003,10017568,"
183219009880065,1,"4100,1003,10017569,"
183219009880065,1,"4100,1003,10017570,"
183219009880065,1,"4100,1003,10017572,"
183219009880065,1,"4100,1003,10017575,"
183219009880065,1,"4100,1003,10017576,"
183219009880065,1,"4100,1003,10017577,"
183219009880065,1,"4100,1003,32317821,"
183219009880065,1,"4100,1003,35783147,"
183219009880065,1,"4100,1003,10017583,"
183219009880065,1,"4100,1003,10017597,"
183219009880065,1,"4100,1003,10017598,"
183219009880065,1,"4100,1003,10017599,"
183219009880065,1,"4100,1003,10017600,"
183219009880065,1,"4100,1003,10017601,"
183219009880065,1,"4100,1003,10017602,"
183219009880065,1,"4100,1003,10018244,"
183219009880065,1,"4100,1003,10018245,"
183219009880065,1,"4100,1003,10018246,"
183219009880065,1,"4100,1003,10018247,"
183219009880065,1,"4100,1003,10018009,"
183219009880065,1,"4100,1003,10677046,"
183219009880065,1,"4100,1003,10677047,"
183219009880065,1,"4100,1003,10677048,"
183219009880065,1,"4100,1003,10677049,"
