Uid,ClusterId,Categories
183219009880065,1,"4100,1006,10081252,"
183219009880065,1,"4100,1006,10081253,"
183219009880065,1,"4100,1006,10081254,"
183219009880065,1,"4100,1006,10081255,"
183219009880065,1,"4100,1006,10081256,"
183219009880065,1,"4100,1006,10081257,"
183219009880065,1,"4100,1006,10081258,"
183219009880065,1,"4100,1006,10081259,"
183219009880065,1,"4100,1006,10081260,"
183219009880065,1,"4100,1006,10081261,"
183219009880065,1,"4100,1006,10081262,"
183219009880065,1,"4100,1006,10081263,"
183219009880065,1,"4100,1006,10081264,"
183219009880065,1,"4100,1006,10081265,"
183219009880065,1,"4100,1006,10081266,"
183219009880065,1,"4100,1006,10081267,"
183219009880065,1,"4100,1006,10081268,"
183219009880065,1,"4100,1006,10081155,"
183219009880065,1,"4100,1006,10081156,"
183219009880065,1,"4100,1006,10081157,"
183219009880065,1,"4100,1006,10081158,"
183219009880065,1,"4100,1006,10081159,"
183219009880065,1,"4100,1006,10081160,"
183219009880065,1,"4100,1006,10081162,"
183219009880065,1,"4100,1006,10081163,"
183219009880065,1,"4100,1006,10081164,"
183219009880065,1,"4100,1006,10081165,"
183219009880065,1,"4100,1006,10081166,"
183219009880065,1,"4100,1006,10081167,"
183219009880065,1,"4100,1006,10081168,"
183219009880065,1,"4100,1006,10081169,"
183219009880065,1,"4100,1006,10081170,"
183219009880065,1,"4100,1006,10081171,"
183219009880065,1,"4100,1006,10081172,"
183219009880065,1,"4100,1006,10081173,"
183219009880065,1,"4100,1006,10081174,"
183219009880065,1,"4100,1006,10081175,"
183219009880065,1,"4100,1006,10081176,"
183219009880065,1,"4100,1006,10081177,"
183219009880065,1,"4100,1006,10081178,"
183219009880065,1,"4100,1006,10081179,"
183219009880065,1,"4100,1006,10081180,"
183219009880065,1,"4100,1006,10081181,"
183219009880065,1,"4100,1006,10081182,"
183219009880065,1,"4100,1006,10081183,"
183219009880065,1,"4100,1006,10081184,"
183219009880065,1,"4100,1006,10081185,"
183219009880065,1,"4100,1006,10081269,"
183219009880065,1,"4100,1006,10081270,"
183219009880065,1,"4100,1006,10081271,"
183219009880065,1,"4100,1006,10081272,"
183219009880065,1,"4100,1006,10081273,"
183219009880065,1,"4100,1006,10081274,"
183219009880065,1,"4100,1006,10081275,"
183219009880065,1,"4100,1006,10081276,"
183219009880065,1,"4100,1006,10081277,"
183219009880065,1,"4100,1006,10081278,"
183219009880065,1,"4100,1006,10081279,"
183219009880065,1,"4100,1006,10081280,"
183219009880065,1,"4100,1006,10081308,"
183219009880065,1,"4100,1006,10081309,"
183219009880065,1,"4100,1006,10081310,"
183219009880065,1,"4100,1006,10081312,"
183219009880065,1,"4100,1006,10081313,"
183219009880065,1,"4100,1006,10081314,"
183219009880065,1,"4100,1006,10081315,"
183219009880065,1,"4100,1006,10081316,"
183219009880065,1,"4100,1006,10081317,"
183219009880065,1,"4100,1006,10081318,"
183219009880065,1,"4100,1006,10081328,"
183219009880065,1,"4100,1006,10081329,"
183219009880065,1,"4100,1006,10081281,"
183219009880065,1,"4100,1006,10081282,"
183219009880065,1,"4100,1006,10081283,"
183219009880065,1,"4100,1006,10081284,"
183219009880065,1,"4100,1006,10081285,"
183219009880065,1,"4100,1006,10081286,"
183219009880065,1,"4100,1006,10081287,"
183219009880065,1,"4100,1006,10081288,"
183219009880065,1,"4100,1006,10081289,"
183219009880065,1,"4100,1006,10081290,"
183219009880065,1,"4100,1006,10081291,"
183219009880065,1,"4100,1006,10081292,"
183219009880065,1,"4100,1006,10081293,"
183219009880065,1,"4100,1006,10081294,"
183219009880065,1,"4100,1006,10081295,"
183219009880065,1,"4100,1006,10081296,"
183219009880065,1,"4100,1006,10081297,"
183219009880065,1,"4100,1006,10081298,"
183219009880065,1,"4100,1006,10081299,"
183219009880065,1,"4100,1006,10081300,"
183219009880065,1,"4100,1006,10081301,"
183219009880065,1,"4100,1006,10081303,"
183219009880065,1,"4100,1006,10081304,"
183219009880065,1,"4100,1006,10081305,"
183219009880065,1,"4100,1006,10081006,"
183219009880065,1,"4100,1006,10081007,"
183219009880065,1,"4100,1006,10081001,"
183219009880065,1,"4100,1006,10081002,"
183219009880065,1,"4100,1006,10081003,"
183219009880065,1,"4100,1006,10081004,"
183219009880065,1,"4100,1006,10081005,"
183219009880065,1,"4100,1006,10081008,"
183219009880065,1,"4100,1006,10081009,"
183219009880065,1,"4100,1006,10081010,"
183219009880065,1,"4100,1006,10081011,"
183219009880065,1,"4100,1006,10081012,"
183219009880065,1,"4100,1006,10081013,"
183219009880065,1,"4100,1006,10081014,"
183219009880065,1,"4100,1006,10081015,"
183219009880065,1,"4100,1006,10081016,"
183219009880065,1,"4100,1006,10081017,"
183219009880065,1,"4100,1006,10081018,"
183219009880065,1,"4100,1006,10081019,"
183219009880065,1,"4100,1006,10081020,"
183219009880065,1,"4100,1006,10081021,"
183219009880065,1,"4100,1006,10081022,"
183219009880065,1,"4100,1006,10081023,"
183219009880065,1,"4100,1006,10081024,"
183219009880065,1,"4100,1006,10081025,"
