ExternalId,Name,ParentExternalId,DataSource,Buyable
171301,Banks & Bank services ,171300,Datonics,TRUE
171302,Credit ,171300,Datonics,TRUE
171303,Savings ,171300,Datonics,TRUE
171304,Retirement / 401K  ,171300,Datonics,TRUE
171400,Tax ,170000,Datonics,TRUE
171500,eCommerce Services ,170000,Datonics,TRUE
171501,PayPal ,171500,Datonics,TRUE
180000,Family,,Datonics,TRUE
180100,Baby Care,180000,Datonics,TRUE
180300,Dating  & Relationships,180000,Datonics,TRUE
180500,Family Toys & Games,180000,Datonics,TRUE
180800,Seniors,180000,Datonics,TRUE
181100,Wedding,180000,Datonics,TRUE
181200,Parties & Celebrations,180000,Datonics,TRUE
181300,Parents,180000,Datonics,TRUE
181500,New Moms,180000,Datonics,TRUE
190000,Health - Custom Segments,,Datonics,TRUE
200000,Hobbies & Interest,,Datonics,TRUE
200100,Books & Magazines,200000,Datonics,TRUE
200200,Events & Tickets,200000,Datonics,TRUE
200300,Movies,200000,Datonics,TRUE
200400,Music,200000,Datonics,TRUE
200401,Musical instruments,200400,Datonics,TRUE
200500,TV,200000,Datonics,TRUE
200700,Pets,200000,Datonics,TRUE
200701,Fish & Aquariums,200700,Datonics,TRUE
200702,Birds,200700,Datonics,TRUE
200703,Cats,200700,Datonics,TRUE
200704,Dogs,200700,Datonics,TRUE
200800,"Restaurants, Food & Drinks",200000,Datonics,TRUE
210000,Home & Garden,,Datonics,TRUE
210200,"Furnishing, Houseware & Decorations",210000,Datonics,TRUE
210300,Home Improvement & Construction,210000,Datonics,TRUE
210500,Garden,210000,Datonics,TRUE
220000,Internet & Software,,Datonics,TRUE
220100,Anti-virus,220000,Datonics,TRUE
220500,Social Networks & web 2.0,220000,Datonics,TRUE
220700,Weblogs,220000,Datonics,TRUE
220800,Web Search,220000,Datonics,TRUE
221000,Webmail,220000,Datonics,TRUE
221200,Downloaders,220000,Datonics,TRUE
221500,Cable & Internet Services,220000,Datonics,TRUE
250000,Real Estate,,Datonics,TRUE
251000,Moving & Relocation,250000,Datonics,TRUE
260000,Sports,,Datonics,TRUE
261300,Fitness & Exercise,260000,Datonics,TRUE
270000,Style & Fashion,,Datonics,TRUE
270100,Accessories,270000,Datonics,TRUE
270200,Beauty,270000,Datonics,TRUE
270201,Hair Care,270200,Datonics,TRUE
270203,Skin Care,270200,Datonics,TRUE
270300,Clothing,270000,Datonics,TRUE
270301,Children Wear,270300,Datonics,TRUE
270302,Men's Wear,270300,Datonics,TRUE
270303,Women's Wear,270300,Datonics,TRUE
270400,Jewelry,270000,Datonics,TRUE
